Row,FL,X,Y,Z,X1,Y1,Z1
385,a,-34.1,119.9,-32.1,-46.04,109.28,-29.75
387,a,-58.2,98.9,63.6,-65.25,94.12,66.76
389,a,-49,95.7,61,-44.28,89.7,64.81
391,a,-50.1,95.8,53.9,-48.82,90.6,59.24
393,a,-47.3,89.8,40.5,-41.11,81.54,33.55
395,a,-67.6,73.9,40.2,-69.67,65.7,36.16
397,a,-57.7,86.5,29.7,-51.69,74.35,23.84
399,a,-54.1,85.2,35.4,-49.95,84.68,31.98
401,a,-59.4,86.7,36.5,-63.12,89.06,38.74
403,a,-50.6,85.2,34.9,-43.05,78.43,33.7
405,a,-55.8,84.3,34.1,-49.31,88.25,41.64
407,a,-52.9,88.8,35.3,-53.7,90.88,41.48
409,a,-48,81.5,31.6,-42.5,74.27,27.48
411,a,-54.8,87.8,30.4,-53.95,96.03,38.81
413,a,-57.1,82.8,21.3,-71.2,76.35,13.62
415,a,-61.8,72,21.8,-68.69,64.78,23.73
417,a,-48.4,82.3,20.1,-39.88,84.64,12.16
419,a,-52.6,70.6,7,-48.58,59.86,2.09
421,a,-51.7,90.2,15.9,-68.07,89.06,25.14
423,a,-53.7,80.3,-2.5,-74.11,70.57,-1.08
425,a,-55.6,74,-2.1,-63.13,61.43,-10.48
427,a,-48.2,77,-2.6,-41.16,70.76,-10.36
429,a,-71.7,75.8,-6.1,-78.93,66.87,-3.35
431,a,-48,89.3,-8.8,-41.6,82.81,-16.76
433,a,-55.1,88.1,-9.4,-59.88,81,-12.97
435,a,-54.8,89.1,-11.9,-61.08,75.86,-20.01
437,a,-55.5,78.2,56,-60.08,69.62,56.35
439,a,-57.5,96.2,57.1,-66.71,94.07,67.77
441,a,-49.9,89.4,47,-48.95,68.27,35.68
443,a,-66.8,97.8,57.7,-74.47,85.91,68.71
445,a,-57.1,91.9,46.1,-49.94,88.64,46.34
447,a,-54.5,94.8,47,-40.89,87.27,38.55
449,a,-69,97.2,45.6,-69.69,99.01,45.68
451,a,-60.9,99.4,56.4,-61.98,100.83,60.66
453,a,-53.9,106.3,56.3,-57.99,106.37,49.38
455,a,-65.8,104.7,57.7,-70.53,111.92,64.2
457,a,-63.2,100.5,53.9,-62.95,99.86,54.63
459,a,-63.9,103.3,52.9,-69.54,102.1,47.02
461,a,-75.1,82,34.8,-79.71,79.28,35.99
463,a,-76.9,87.4,36.6,-85.14,82.22,36.15
465,a,-73.5,93.7,21.5,-70.48,86.47,15.61
467,a,-76.6,92.3,25,-78.29,78.22,23.49
469,a,-75.1,96.4,23.3,-77.12,92.96,17.88
471,a,-78.5,95.3,25.5,-85.3,89.96,24.32
473,a,-77.4,99.4,22.5,-66.68,99.22,18.89
475,a,-83.4,110.3,22.4,-85.52,112.51,26.18
477,a,-93.3,114.1,19.1,-103.07,111.97,20.28
479,a,-80.8,109.8,13.2,-82.24,100.63,1.47
481,a,-82.3,112,18.4,-76.49,115.22,28.7
483,a,-82.9,109.4,14.8,-86.58,103.71,1.24
485,a,-88.2,111.9,12.9,-99.26,101.55,7.44
487,a,-81,106.3,35.6,-76.9,108.7,38.7
489,a,-76.4,110.2,28.5,-89.29,103.19,29.12
491,a,-83.7,113.7,36.3,-85.56,117.77,48.14
493,a,-78.3,109.9,31.9,-74.97,112.57,25.3
495,a,-77.2,112.8,35.1,-67.71,116.47,42.1
