Row,FL,X,Y,Z,X1,Y1,Z1
247,b,-76.8,-15.1,36,-82.55,-13.36,31.59
249,b,-78.3,-6.9,37.2,-74.06,5.82,36.99
251,b,-79.2,-17.2,40.7,-89.54,-26.01,44.06
253,b,-85.3,-16.2,40.6,-90.74,-28.09,47.44
255,b,-78.6,-16.3,44.8,-78.61,-29.92,49.16
257,b,-88.1,-11,33.6,-95.4,-25.06,32.84
259,b,-81.9,-9.6,42.7,-81.21,-26.87,47.4
261,b,-85.7,-6.9,36.7,-87.41,-8.56,36.75
263,b,-84.4,-3.4,38.2,-81.32,-3.06,40.91
265,b,-87.7,-2.8,34.3,-92.13,-15.47,34.45
267,b,-86.3,-2.9,40.3,-85.8,-13.22,38.12
269,b,-90.5,-2.6,39.7,-92.43,-13.16,42.25
271,b,-83.6,-1.6,30.8,-79.61,-11.15,20.37
273,b,-90.5,0.5,32.8,-92.66,-9.79,31.61
275,b,-85.4,-0.9,40.9,-85.52,-12.76,44.82
277,b,-10.3,39.4,0.9,-7.53,39.83,-5.92
279,b,-11.7,43.7,1.4,-16.71,32.78,4.54
281,b,-9.7,42.3,-5,-9.11,36.64,-12.24
283,b,-9.4,43.6,-5,4.11,39.27,-7.36
285,b,-14.9,40.6,-2.7,-20.23,33.39,-4.38
287,b,-12.6,41.4,-3.1,-20.22,36.87,-6.99
289,b,-12.3,43.5,-2.5,-17.09,47.42,2.7
291,b,6.2,21.7,7,-1.14,7.35,13.18
293,b,18.3,14.6,7.7,25.28,6.77,6.73
295,b,16.8,10.1,8.8,21.66,5.54,10.92
297,b,7.5,15.1,9.6,4.5,2.23,15.9
299,b,19.4,8.7,15.8,28.2,2.49,23.33
301,b,15.1,13.2,10.7,15.36,6.81,9.19
303,b,10,12.1,18.2,9.2,5.91,33.93
305,b,16.3,7.6,19,17.41,0.93,22.33
307,b,11.3,9.7,17.4,8.15,1.87,18.32
309,b,1.4,33.7,13.5,-6.04,24.81,12.31
311,b,6.6,29.6,11.5,9.63,20.74,9.19
313,b,2.8,33.1,16.1,0.1,21.25,20.52
315,b,7.9,26.4,8.6,5.37,17.41,-1.13
317,b,8.6,31.5,14.3,0.38,34.85,16.47
319,b,14.4,26.8,13.2,22.43,13.83,15.32
321,b,15.5,30.6,10,21.8,24.51,2.47
